2026-05-29T10:30:00-03:00 | DETALHE PATH: ./arquivos/endossos/2026-04/2 | busca_data=2026-04 | empresa=2
2026-05-29T10:30:00-03:00 | DEBUG SUMMARY: existeTerceirizado=0 | arquivos_count=0 | empresasSelecionadas=2
2026-05-29T10:30:04-03:00 | GERAL PATH: ./arquivos/endossos/2026-05 | busca_data=2026-05 | empresaSelecionadas=1
2026-05-29T10:30:04-03:00 | DEBUG SUMMARY: existeTerceirizado=0 | arquivos_count=1 | empresasSelecionadas=1
2026-05-29T10:30:10-03:00 | GERAL PATH: ./arquivos/endossos/2026-04 | busca_data=2026-04 | empresaSelecionadas=2
2026-05-29T10:30:10-03:00 | DEBUG SUMMARY: existeTerceirizado=0 | arquivos_count=1 | empresasSelecionadas=2
2026-05-29T10:30:14-03:00 | GERAL PATH: ./arquivos/endossos/2026-04 | busca_data=2026-04 | empresaSelecionadas=2
2026-05-29T10:30:14-03:00 | DEBUG SUMMARY: existeTerceirizado=0 | arquivos_count=1 | empresasSelecionadas=2
2026-05-29T10:33:59-03:00 | GERAL PATH: ./arquivos/endossos/2026-04 | busca_data=2026-04 | empresaSelecionadas=2
2026-05-29T10:33:59-03:00 | DEBUG SUMMARY: existeTerceirizado=0 | arquivos_count=1 | empresasSelecionadas=2
2026-05-29T10:34:03-03:00 | GERAL PATH: ./arquivos/endossos/2026-05 | busca_data=2026-05 | empresaSelecionadas=1
2026-05-29T10:34:03-03:00 | DEBUG SUMMARY: existeTerceirizado=0 | arquivos_count=1 | empresasSelecionadas=1
2026-05-29T10:34:11-03:00 | GERAL PATH: ./arquivos/endossos/2026-04 | busca_data=2026-04 | empresaSelecionadas=2
2026-05-29T10:34:11-03:00 | DEBUG SUMMARY: existeTerceirizado=0 | arquivos_count=1 | empresasSelecionadas=2
2026-05-29T10:34:13-03:00 | GERAL PATH: ./arquivos/endossos/2026-04 | busca_data=2026-04 | empresaSelecionadas=2
2026-05-29T10:34:13-03:00 | DEBUG SUMMARY: existeTerceirizado=0 | arquivos_count=1 | empresasSelecionadas=2
2026-05-29T10:34:17-03:00 | GERAL PATH: ./arquivos/endossos/2026-04 | busca_data=2026-04 | empresaSelecionadas=2
2026-05-29T10:34:17-03:00 | DEBUG SUMMARY: existeTerceirizado=0 | arquivos_count=1 | empresasSelecionadas=2
2026-05-29T10:35:35-03:00 | GERAL PATH: ./arquivos/endossos/2026-04 | busca_data=2026-04 | empresaSelecionadas=1
2026-05-29T10:35:35-03:00 | DEBUG SUMMARY: existeTerceirizado=0 | arquivos_count=1 | empresasSelecionadas=1
2026-05-29T10:35:44-03:00 | GERAL PATH: ./arquivos/endossos/2026-04 | busca_data=2026-04 | empresaSelecionadas=1
2026-05-29T10:35:44-03:00 | DEBUG SUMMARY: existeTerceirizado=0 | arquivos_count=1 | empresasSelecionadas=1
2026-05-29T10:35:46-03:00 | GERAL PATH: ./arquivos/endossos/2026-04 | busca_data=2026-04 | empresaSelecionadas=1
